Case Facts,Advice
"Applicant's husband is not giving maintenance for the children, and is not seeing the three children (2, 7, 8 years old). He has also blocked her mobile number.  ","Applicant can apply for interim maintenance for the children. She must bring all the particulars of the children. For each child, prepare the child's expenses for the month such as food, going to school, transport, etc. Be reasonable. 

Sum up for the three children. For herself, in the same way, also prepare her regular monthly expenses. Also, prepare the utility expenses, as well as any household expenses. Then seek maintenance for all of these expenses. 

Recommend that she googles for divorce lawyer (Shariah law) and arrange for a consultation meeting. When she is speaking to the divorce lawyer, also check whether the lawyer is charging her for consultation. She has also been advised to seek the Legal Aid Bureau. 







"
"Applicant was passed the decree by his 2019 ex-lawyer and did not know what to do.  
He was asked to pay maintenance for S$500 per month for 5 years (31 March).  Now, the balance is $2,100 which he has to pay by end Dec 2022.  
He wants to lower the amount he pays per month but at S$200.00 per month, but his ex-wife was S$500.00 per month.  
Currently, his ex-wife took up a summons to enforce him to pay S$500.

Currently, he is earning S$1,300 per month.
Previously, he was earning about S$2,000 per month.  Hence, there was a reduction in his income.","Advised to take up a summons to vary the amount he can pay his ex-wife, and explain that his current job pays lesser than the previous job, so he wants to reduce the amount he pays to his ex-wife.

Advised to go to the Legal Aid Bureau (if he passes the means test) and see if any lawyer is willing to help him.  Otherwise, he has to engage a lawyer to do it.

He has been informed to go for hearing on 3 Jan 2023 and advised to inform the court of his current circumstances.  He has to be mindful that the court is likely to ask him to apply for summons.




"
"Applicant was divorced in 2021. However, after which the maintenance was not valid now after the divorce. Their lawyer had registered the maintenance in her name. Family court said that she is not meant to have the maintenance (for herself) since she is now divorced, under Muslim law. Applicant has children that she is seeking maintenance for from the other spouse.","Lawyer is suggesting for the applicant to apply for maintenance for her children, since she might not be able to apply for maintenance for herself, under Shariah law. Lawyer is suggesting that the applicant should not concede to the other party's reluctance to pay for the further maintenance, applicant should seek to increase the maintenance by stating her case (including the change of circumstances) to the other spouse or the mediator (until applicant is satisfied), however if it is still unreasonable the applicant should go to court and argue her case and allow the court to decide how much should be given. Applicant should not ""agree"" immediately if she is not satisfied since it would be consent and irreversible. 

Applicant can seek to get a lawyer from Legal Aid, does not matter that their ex-spouse does not have a lawyer. 

Applicant may want to go too family court instead of shariah court


"
"Applicant thinks that the child maintenance amount of $350 per month is too low. The maintenance order was by consent, and was given in 2005. The son is 20 years old now.

During the last mediation in 1999/2000, it was agreed that the maintenance amount will be $650.

The father has said that he will not pay for maintenance once the child turns 21.

Also, in her current marriage, there has been family violence for the past 12 years, the husband has a bipolar disorder, and she has a Personal Protection Order against him issued in 2010, before her daughter was born. She wants to file for a divorce. Further, her other child (a daughter) will be 12 years old next year. She has already approached Legal Aid Bureau.","Applicant can apply for a Variation Order. 

At present, the maintenance will only last till the child is 21 (which is in Jan 2023), unless the applicant can show that he is going for tertiary studies/further studies. The Applicant will have to show that there have been steps taken that show that the child is indeed going for higher education (eg. application to universities, acceptance to universities). She must also show the expected expenses to be incurred and till when.

What was discussed in the mediation is not binding, and cannot be brought up in court as it is said without prejudice. Only what is stated in the Court Order is.

As for the current divorce proceedings, since she has already approached Legal Aid Bureau, she should just wait for their response after she has gone for the Means Test. If she passes the Means Test, then it will take 6 to 8 weeks for Legal Aid Bureau to assign a lawyer to her case."
"The Applicant divorced her husband and the certification of final judgement is out. The court ordered the ex-husband to give the Applicant $300 per month for maintenance of the child (10 years-old). In addition to the $300 per month, the ex-husband is responsible for 70% and the Applicant 30% of the child's student care and tuition expenses. Without informing the Applicant, the ex-husband deducted the amount of money paid by about $100 per month. The ex-husband did not pay the full $300 maintenance. This has occurred from April till now.  

The Applicant is upset that the ex-husband did not inform her about the reasons why the amount was deducted. 

The Applicant is a long-term visit pass holder. ","The Applicant needs to find a lawyer and go to court as the husband has not paid the full amount of maintenance. 

If the Applicant is unable to foot the legal costs, she can try to find pro-bono lawyers (not from government schemes as the Applicant is not a PR or Singapore citizen). 

"
"Applicant has applied for a maintenance order and is due for mediation tomorrow. She is still married but has taken out the application for maintenance summons for her and her children. She notes that the husband has torn up the summons letter, and demonstrated uncooperative behaviour.","No recommended course of action. If parties both come for the mediation, then the mediators will try to resolve the issue without having to go to court. However, if her husband does not want to comply, then the matter will be transferred to the open court.

If the husband defaults, this should be raised to the courts immediately. She can also apply for legal aid for support with regards to the maintenance order issue. If she does decide to seek legal aid, she can request to postpone the mediation/court order.

If the husband is aggressive, she can also apply for a personal protection order.

She should request time to obtain as much evidence as possible pertaining to monthly expenses not being paid by the husband, etc."
"Applicant divorced her husband in 2017. He continued living with her even though they had already gotten a divorce. Applicant owns 84% of the house and husband does not contribute to maintenance of the house. Husband keeps claiming money from her for maintenance of children but she is doubtful that he actually used the money to maintain them. Her children are 18 and 19 years old, they have joint custody. Applicant gave Husband has care and control of her 18 year old daughter in order to help him get a HDB flat. Last year he promised to transfer the flat under her name but he kept delaying signing the contract. Husband now wants to retain ownership of the flat. She has paid $16,000 for maintenance.",Chances of claiming maintenance is low as the judge did not order maintenance of wife during her divorce proceedings.  Applicant has to justify her reasoning for transferring the care and control of her children.
"Applicant wants to apply for the variation of maintenance order.

He applied to Legal Aid Bureau and was advised to come here

He is supposed to pay $750 for his 4 year old son, he wants to vary the maintenance to $400.

He has contracted hypertension and has eyesight issues, and he also wishes to start a new family
$225 per child for 2 children from first marriage, but he usually gives about $600-700 to both child.

He is currently earning $6,500 monthly.  He also receives AWS and bonus

First ex wife is not employed, has no source of income

Second ex wife is presently working as a admin and earning about $3,000 

Bought a new 3 room flat and a car - Mortgage, $953, car $68k

Currently repaying loan for flat using CPF

He has an upcoming conference on 29 ","He needs to appoint a lawyer as he is not applicable for the Legal Aid scheme

The strength of his case is not very strong because:

- his salary is still the same
- He is still financially able
- his financial situation is not getting worse
- can make an argument for the ex-wife to make a contribution"
"Applicant's ex-husband has applied for a variation of judgment/ order and has a pre-hearing conference on 29 November 2022 and she wants to represent herself. 
Her ex-husband had not been paying the full amount of maintenance and was advised to mention this at the 29 Nov 2022 case conference. 
Applicant also enquired on the estimated costs of engaging a lawyer. 
","Lawyer advised her to follow the instructions given to her on email, regarding the case conference on zoom, which she must attend. 
Applicant should ask for the appropriate time needed in order to file the affidavit. 
She needs to sign the affidavit in the present of a commissioner of oaths and then e-file the application, via Crimson Logic. 
The whole process may take 6-9 weeks. 
Lawyer also advised the applicant on taking out an enforcement order at the Family Justice Courts as regards the shortfall in maintenance paid by her ex-husband. 
Alternatively, she may have to make a committal application.
The estimated costs for a lawyer would be around $5,000. 

"
"Regarding maintenance order. Order of Court was given October 7th 2022. 

Standard documents, 6th Month of bank account details and all that were not provided. Discovery was sought by the Court, then the officer got the hardcopies of the said documents. Only received the documents through the Court. 

Having gone through the documents, Applicant found that there were forgery / alteration and doctoring of the said documents. Husband has defaulted on the maintenance. 

Maintenance $2,700. Arrears $3000. Cost $500. 

One part of the order, he was supposed to return the bursary money that he stole. $2,750.

The above has already defaulted. After the Court Order, Husband has filed a Variation Order. Applicant has applied for an enforcement and variation. 

Lodged a Police Report. But Police classified the case as not Forgery.

Applicant raised alot of other issues and expressed her discontent at the judge, and other matters. ","With respect to the alleged forged documents, she may need to raise this to the Court during her variation or maintenance order.

If she is unhappy against the decision, then she should have appealed against the decision. She has to apply to appeal (out of time) against the decision. She can in support of her appeal, that the statements relied upon were 'tampered' with. 

"
